BLD_CODE,LAT,LON,FLOOD_2020,FLOOD_2050,Sum of TOT_ENRO,NEW SCHOOLS,OTHER,FLOOD,PENETRATION,ROOF,SANDY,MIT_BUDGET,TOT_BUDGET
K238,40.608801,-73.964586,0,0,614,0,9284665,0,0,0,0,0,9284665
K239,40.57864,-73.992447,1,1,1336,0,606365,0,0,0,0,0,606365
K240,40.623788,-73.946836,0,0,944,0,457616,21671128,0,0,0,21671128,22128744
K241,40.668913,-73.960924,0,0,470,0,953337,0,0,0,0,0,953337
K242,40.645965,-73.898607,0,0,205,0,458462,0,0,0,0,0,458462
K243,40.675675,-73.935093,0,0,550,0,0,0,0,0,0,0,0
K244,40.647851,-73.925592,0,0,799,0,1341775,0,0,0,0,0,1341775
K246,40.648352,-73.95348,0,0,409,0,1413879,5818764,0,0,0,5818764,7232643
K247,40.612247,-73.987195,0,0,863,0,2109286,0,0,0,0,0,2109286
K249,40.649509,-73.966456,0,0,878,0,9411728,0,0,0,0,0,9411728
K250,40.706708,-73.945659,0,0,462,0,619535,0,0,0,0,0,619535
K251,40.63195,-73.923894,0,0,478,0,5824609,0,0,0,0,0,5824609
K252,40.657712,-73.919818,0,0,1011,0,1129175,0,0,12298728,0,12298728,13427903
K253,40.580237,-73.961962,1,1,945,0,340640,8170229,0,0,0,8170229,8510869
K254,40.591103,-73.95155,1,1,766,0,55190456,0,0,0,0,0,55190456
K255,40.604461,-73.955891,0,0,882,0,277669,0,0,16825852,0,16825852,17103521
K256,40.690595,-73.94961,0,0,245,0,137000,0,0,0,0,0,137000
K257,40.702759,-73.941345,0,0,601,0,296774,0,0,0,0,0,296774
K258,40.68192,-73.9456,0,0,1510,0,251345,0,0,0,0,0,251345
K259,40.626089,-74.014633,0,0,1890,0,8451930,0,0,0,0,0,8451930
K260,40.653368,-73.893294,0,1,200,0,998565,0,0,0,0,0,998565
K261,40.687218,-73.988667,0,0,794,0,295079,0,0,0,0,0,295079
K262,40.682949,-73.930132,0,0,176,0,761197,0,0,0,0,0,761197
K263,40.666187,-73.911279,0,0,813,0,2573230,0,0,0,0,0,2573230
K264,40.621025,-74.029444,0,0,460,0,35000,0,0,0,0,0,35000
K265,40.697177,-73.976104,0,0,600,0,7776890,0,0,0,0,0,7776890
K268,40.657421,-73.92756,0,0,338,0,1612581,0,0,0,0,0,1612581
K269,40.637625,-73.947672,0,0,639,0,162435,0,0,0,0,0,162435
K270,40.691275,-73.961134,0,0,545,0,277001,0,0,0,0,0,277001
K271,40.678124,-73.915106,0,0,1214,0,10599726,0,0,0,0,0,10599726
K272,40.635542,-73.886373,0,1,449,0,970550,0,0,0,0,0,970550
K273,40.6585,-73.879276,0,0,340,0,475142,0,0,0,0,0,475142
K274,40.694179,-73.92818,0,0,359,0,5894839,0,0,0,0,0,5894839
K275,40.655644,-73.906662,0,0,1419,0,637387,0,0,0,0,0,637387
K276,40.634005,-73.908436,1,1,611,0,976431,0,0,0,0,0,976431
K277,40.595798,-73.92785,1,1,433,0,7089584,0,0,0,0,0,7089584
K278,40.606745,-73.938721,0,1,1203,0,792237,0,0,0,0,0,792237
K279,40.644134,-73.892797,1,1,1199,0,1789657,0,0,0,0,0,1789657
K280,40.656952,-73.983116,0,0,302,0,22576089,0,0,0,0,0,22576089
K281,40.594648,-73.993565,1,1,1346,0,1477342,0,0,0,0,0,1477342
K282,40.676649,-73.977983,0,0,650,0,754444,0,0,0,0,0,754444
K284,40.666942,-73.907634,0,0,280,0,1554214,0,2854694,0,0,2854694,4408908
K285,40.647818,-73.920784,0,0,752,0,1524758,0,0,0,0,0,1524758
K286,40.591132,-73.93861,1,1,337,0,2481249,0,0,0,0,0,2481249
K287,40.697856,-73.98112,1,1,145,0,29437,0,0,9261735,0,9261735,9291172
K288,40.574029,-73.992393,1,1,615,0,1429005,0,0,4085218,0,4085218,5514223
K289,40.674244,-73.942401,0,0,362,0,143491,0,0,0,0,0,143491
K290,40.678182,-73.889375,0,0,461,0,650053,0,0,3922381,0,3922381,4572434
K291,40.695875,-73.915217,0,0,958,0,1627547,0,0,0,0,0,1627547
K292,40.671601,-73.893319,0,0,563,0,318100,0,0,0,0,0,318100
K293,40.685006,-73.993293,0,0,1298,0,220246,0,0,0,0,0,220246
K296,40.688647,-73.910589,0,0,370,0,756162,0,0,0,0,0,756162
K297,40.697377,-73.948166,0,0,204,0,124064,0,0,0,0,0,124064
K298,40.671015,-73.907718,0,0,559,0,1278169,0,0,4679593,0,4679593,5957762
K299,40.690755,-73.917899,0,0,238,0,372067,0,0,0,0,0,372067
K302,40.677112,-73.884211,0,0,1822,0,1615944,0,0,0,0,0,1615944
K303,40.582518,-73.972009,1,1,2198,0,3738703,0,0,0,0,0,3738703
K304,40.693654,-73.941278,0,0,319,0,6000078,0,0,0,0,0,6000078
K305,40.685653,-73.94573,0,0,236,0,15341,0,0,0,0,0,15341
K306,40.65534,-73.88662,0,0,303,0,890993,0,0,0,0,0,890993
K307,40.701789,-73.981599,0,0,372,0,863034,0,0,0,0,0,863034
K308,40.688323,-73.935509,0,0,778,0,323299,0,0,0,0,0,323299
K309,40.6881,-73.924422,0,0,1649,0,504076,0,0,0,0,0,504076
K310,40.632143,-74.007533,0,0,411,0,326978,0,0,0,0,0,326978
K312,40.622442,-73.909554,1,1,786,0,11656662,0,1223216,0,0,1223216,12879878
K313,40.694629,-73.988323,0,0,935,0,53081,0,0,0,0,0,53081
K314,40.64195,-74.019299,0,0,1773,0,2668182,0,0,6157595,0,6157595,8825777
K316,40.674685,-73.961418,0,0,747,0,234509,0,0,3368066,0,3368066,3602575
K317,40.679916,-73.980455,0,0,751,0,69736,0,0,0,0,0,69736
K318,40.703034,-73.948771,0,1,1205,0,156367,0,0,0,0,0,156367
K319,40.709632,-73.953881,0,0,116,0,185921,0,0,0,0,0,185921
